family	allmb_name	gbif_species_key	num_occurrences	crop_state	myco_state	woody_state
Asteraceae	Porophyllum_punctatum	3104036	1238			derived
Asteraceae	Dasyphyllum_brasiliense	5389251	1253		arbuscular	
Asteraceae	Tanacetum_balsamita	3118254	1284		arbuscular	
Asteraceae	Artemisia_pontica	8195160	1287		arbuscular	
Asteraceae	Tessaria_integrifolia	3114910	1301			derived
Asteraceae	Pluchea_sericea	3132675	1307			derived
Asteraceae	Cratystylis_conocephala	3098621	1345			derived
Asteraceae	Achillea_setacea	3120066	1350		neither	
Asteraceae	Porophyllum_gracile	3104005	1405			ancestral
Asteraceae	Argyranthemum_frutescens	3104491	1435			derived
Asteraceae	Kleinia_neriifolia	5405673	1453			derived
Asteraceae	Helichrysum_foetidum	7438716	1508			non-woody
Asteraceae	Monticalia_vaccinioides	3111221	1514			derived
Asteraceae	Hymenostephium_cordatum	3100271	1551			derived
Asteraceae	Calea_ternifolia	8388990	1738			non-woody
Asteraceae	Gazania_krebsiana	3112466	1861			non-woody
Asteraceae	Chiliadenus_iphionoides	3089836	1888			derived
Asteraceae	Plectocephalus_americanus	3128990	1896			non-woody
Asteraceae	Layia_glandulosa	5392986	2026			non-woody
Asteraceae	Klasea_flavescens_subsp._flavescens	3091206	2096			non-woody
Asteraceae	Centaurea_diffusa	3128962	2137			non-woody
Asteraceae	Cheirolophus_intybaceus_var._microcephalus	3097063	2166			derived
Asteraceae	Petasites_spurius	7675973	2248		arbuscular	
Asteraceae	Stephanomeria_pauciflora	3141076	2251			non-woody
Asteraceae	Cichorium_endivia	5392243	2261		arbuscular	
Asteraceae	Pluchea_carolinensis	3132710	2285			derived
Asteraceae	Gymnanthemum_amygdalinum	3130899	2323		arbuscular	
Asteraceae	Launaea_arborescens	3144854	2402			derived
Asteraceae	Xylorhiza_orcuttii	5396052	2484			derived
Asteraceae	Krigia_virginica	3132412	2554			non-woody
Asteraceae	Perityle_emoryi	3146426	2605			non-woody
Asteraceae	Tolpis_succulenta	3097207	2684			derived
Asteraceae	Moquiniastrum_polymorphum	7575247	2798		arbuscular	
Asteraceae	Guizotia_abyssinica	8584304	2848			non-woody
Asteraceae	Dyssodia_papposa	5405417	2897			non-woody
Asteraceae	Erigeron_speciosus	3147146	2944			non-woody
Asteraceae	Pterocaulon_sphacelatum	5392227	3128			non-woody
Asteraceae	Otanthus_maritimus	8278487	3380		arbuscular	
Asteraceae	Espeletia_grandiflora	3105059	3454			derived
Asteraceae	Viguiera_dentata	5389737	3717			non-woody
Asteraceae	Brickellia_eupatorioides	5388438	4114			non-woody
Asteraceae	Pluchea_odorata	3132617	4188			non-woody
Asteraceae	Packera_aurea	3114043	4201			non-woody
Asteraceae	Acanthospermum_hispidum	3100375	4248			non-woody
Asteraceae	Senecio_flaccidus	3108316	4526			non-woody
Asteraceae	Anthemis_cretica_subsp._argaea	7839493	4529		neither	
Asteraceae	Porophyllum_ruderale	3103948	4582			non-woody
Asteraceae	Encelia_farinosa	3118746	4608			ancestral
Asteraceae	Mikania_cordifolia	5398689	4656			ancestral
Asteraceae	Olearia_rani	5405099	4656		arbuscular	
Asteraceae	Schkuhria_pinnata	8346536	4679			non-woody
Asteraceae	Tephroseris_atropurpurea	3130950	4702		arbuscular	
