allmb_name	gbif_species_key	num_occurrences	myco_state
Campanula_hohenackeri	5410717	2263	neither
Phyteuma_orbiculare	3166655	42048	arbuscular
Phyteuma_hemisphaericum	3166609	11618	neither
Asyneuma_canescens	3168201	394	arbuscular
Adenophora_liliifolia	5409500	1539	arbuscular
Codonopsis_clematidea	8569825	467	arbuscular
Lobelia_dortmanna	5408512	24292	arbuscular
Carpodetus_serratus	3932516	18050	arbuscular
Escallonia_myrtilloides	8376201	2282	arbuscular
Sambucus_sibirica	2888723	113717	arbuscular
Sambucus_racemosa_subsp._sieboldiana	2888723	113717	neither
Viburnum_orientale	3857121	53	arbuscular
Viburnum_dilatatum	2888584	5285	neither
Weigela_subsessilis	3856121	2156	arbuscular
Weigela_florida	2888730	3232	neither
Weigela_suavis	3856132	8	arbuscular
Lonicera_japonica	5334240	19632	arbuscular
Lonicera_webbiana	7272607	579	neither
Lonicera_microphylla	5598646	494	arbuscular
Lonicera_caerulea_var._pallasii	5334269	9376	neither
Lonicera_hispida	7272731	933	arbuscular
Lonicera_caprifolium	5334227	6724	arbuscular
Lonicera_etrusca	5334247	23385	neither
Lonicera_implexa	9558260	21488	arbuscular
Lonicera_periclymenum	5334277	294808	arbuscular
Lonicera_nummulariifolia	7272754	273	arbuscular
Patrinia_sibirica	5668821	449	arbuscular
Valerianella_locusta	2888778	59587	arbuscular
Valeriana_dioica	2888762	74994	neither
Succisa_pratensis	2888811	229755	arbuscular
Linnaea_borealis	5334220	66026	arbuscular
Quintinia_acutifolia	3932810	8616	arbuscular
Pennantia_corymbosa	3596592	4042	arbuscular
Pimpinella_major	5371874	76512	neither
Hedera_helix	8351737	450437	arbuscular
Berzelia_lanuginosa	5643057	1240	arbuscular
Ilex_verticillata	5414267	7211	arbuscular
Primula_farinosa	7931979	34197	arbuscular
Primula_pallasii	5414326	109229	neither
Primula_macrocalyx	8377689	200265	arbuscular
Primula_auricula	7974503	9247	arbuscular
Androsace_obtusifolia	4005658	2725	arbuscular
Androsace_triflora	8545553	42	neither
Anagallis_arvensis	8184903	195673	arbuscular
Lysimachia_terrestris	3169365	4105	neither
Anagallis_tenella	4005183	27076	arbuscular
Cyclamen_hederifolium	7127810	3980	arbuscular
Myrsine_divaricata	3721809	16807	arbuscular
Samolus_valerandi	3169313	37853	arbuscular
Maesa_lanceolata	7330870	3534	arbuscular
Planchonia_careya	5383741	5672	arbuscular
Vitellaria_paradoxa	2886750	15431	arbuscular
Allophyllum_integrifolium	5341614	105	arbuscular
Polemonium_caucasicum	2927850	14493	arbuscular
Polemonium_boreale	2927837	1332	neither
Fouquieria_diguetii	3874338	476	arbuscular
Stylogyne_turbacensis	7331069	868	arbuscular
Leucopogon_juniperinus	4010136	4781	arbuscular
Astroloma_humifusum	7288486	18236	neither
Epacris_microphylla_var._microphylla	7908557	5458	arbuscular
Epacris_impressa	8377116	22255	neither
Pyrola_minor	2888272	67560	ecto
Monotropa_uniflora	2888353	9974	neither
