allmb_name	gbif_species_key	num_occurrences	woody_state
Scrophularia_auriculata	3170875	82847	non-woody
Scrophularia_striata	3735699	92	derived
Scrophularia_xanthoglossa	3735218	933	non-woody
Scrophularia_deserti	3738208	229	derived
Scrophularia_glabrata	8044991	426	derived
Scrophularia_kurdica_subsp._glabra	7332869	27	derived
Scrophularia_lanceolata	3170878	2081	non-woody
Scrophularia_leucoclada	3737217	30	derived
Scrophularia_nodosa	3170886	187488	non-woody
Scrophularia_frutescens_var._frutescens	8132017	771	derived
Scrophularia_desertorum	3170883	181	ancestral
Verbascum_cystolithicum	3740337	9	derived
Verbascum_thapsus	3171949	107599	non-woody
Verbascum_spinosum	3735884	87	derived
Veronica_macrantha	3729676	390	derived
Veronica_derwentiana_subsp._maideniana	7332357	3884	derived
Veronica_plebeia	3172117	9467	non-woody
Veronica_tubata	3724701	63	derived
Veronica_lavaudiana	3730006	133	derived
Veronica_hectorii_subsp._coarctata	5830297	681	ancestral
Veronica_salicifolia	7331824	3654	derived
Veronica_speciosa	3172028	314	derived
Veronica_longifolia	3172118	24623	non-woody
Veronica_tetragona	7331657	552	derived
Veronica_chamaedrys	7874883	341220	non-woody
Veronica_venustula	3724463	247	derived
Plantago_trinitatis	4156058	9	derived
Plantago_virginica	3189751	3479	non-woody
Plantago_famarae	4156521	24	derived
Plantago_sempervirens	7303117	13900	non-woody
Plantago_webbii	4155514	187	derived
Plantago_arborescens	9344408	153	derived
Plantago_princeps_var._anomala	3189754	190	derived
Plantago_princeps_var._longibracteata	3189754	190	ancestral
Plantago_fernandezia	4156493	15	derived
Plantago_lanceolata	8208358	717148	non-woody
Aragoa_abietina	3741986	1132	derived
Globularia_cordifolia	7265184	28415	derived
Globularia_punctata	5578472	29398	non-woody
Globularia_sintenisii	5578484	47	derived
Globularia_nudicaulis	7265189	11828	non-woody
Globularia_alypum	7703240	14111	derived
Globularia_cambessedesii	5578468	46	ancestral
Poskea_socotrana	3788535	32	derived
Campylanthus_salsoloides	8164714	360	derived
Galvezia_fruticosa	3733296	111	derived
Maurandya_antirrhiniflora	3741449	1736	non-woody
Kickxia_aegyptiaca	7738378	1211	derived
Kickxia_elatine	3170819	29341	non-woody
Gambelia_juncea	8307949	163	derived
Linaria_vulgaris	5415020	194037	non-woody
Penstemon_fruticiformis	3171503	159	derived
Penstemon_thurberi	3171405	274	non-woody
Penstemon_incertus	3171588	176	derived
Penstemon_clevelandii	3171384	245	non-woody
Penstemon_tenuifolius	3730190	63	derived
Penstemon_barbatus	3171570	2600	non-woody
Penstemon_kunthii	3730926	1576	ancestral
Keckiella_breviflora	3170795	659	derived
Chelone_glabra	5414935	4175	non-woody
Russelia_laciniata	8298868	385	derived
Basistemon_spinosus	3734357	112	derived
Angelonia_integerrima	3742036	645	non-woody
Angelonia_campestris	3742222	347	derived
Monttea_chilensis	7332894	239	derived
Otacanthus_azureus	7760877	106	derived
Lavandula_stoechas	2927303	200458	ancestral
Lysionotus_pauciflorus	6365649	1459	derived
Agalmyla_parasitica	3823653	132	non-woody
Henckelia_longisepala	3824659	7	derived
Codonoboea_leucocodon	3823765	6	derived
Streptocarpus_papangae	5590685	57	derived
Streptocarpus_grandis	6365569	178	non-woody
Streptocarpus_campanulatus	5591400	46	derived
Paraboea_sinensis	6365575	309	derived
Rhynchotechum_discolor	6365531	1153	derived
Ramonda_nathaliae	6365090	45	non-woody
Codonanthopsis_crassifolia	3824299	1180	derived
Drymonia_serrulata	5590493	2383	derived
Drymonia_semicordata	5590501	930	non-woody
Lesia_savannarum	5589164	287	derived
Paliavana_prasinata	3824061	385	derived
Kohleria_tigridia	5592197	974	derived
Achimenes_longiflora	6365250	1007	non-woody
Moussonia_deppeana	5590599	1352	derived
Rhytidophyllum_auriculatum	5415322	346	derived
Besleria_notabilis	3824613	418	derived
Negria_rhabdothamnoides	5589523	106	ancestral
Besleria_solanoides	6365702	8456	derived
Micromeria_tenuis_subsp._linkii	7306857	69	derived
Forsythia_suspensa	5415056	1415	ancestral
Micromeria_leucantha	5608751	20	derived
Fraxinus_excelsior	3172358	568688	ancestral
Galium_angustifolium_subsp._gabrielense	2914865	789	derived
Galium_angustifolium_subsp._nudicaule	2914865	789	non-woody
Galium_hallii	2914507	74	derived
Galium_stellatum	2914884	700	derived
Galium_angulosum	2914960	9	derived
Galium_aparine	2913548	465738	non-woody
Rubia_fruticosa	2892284	1139	derived
Rubia_tinctorum	2892272	3086	non-woody
Rubia_agostinhoi	2892366	3010	derived
Rubia_cordifolia	2892192	3204	non-woody
Rubia_peregrina_subsp._longifolia	2892347	73159	ancestral
Mitracarpus_portoricensis	2912966	69	derived
Mitracarpus_hirtus	2912993	5878	non-woody
Mitracarpus_rigidifolius	2912913	183	derived
Mitracarpus_megapotamicus	2912930	547	non-woody
Mitracarpus_robustus	8397993	114	derived
Psyllocarpus_laricoides	2907975	1039	derived
Richardia_brasiliensis	5337499	3826	non-woody
Spermacoce_dispersa	2918464	37	derived
Spermacoce_capitata	2892008	2908	non-woody
Galianthe_brasiliensis	2902311	1961	derived
Borreria_alata	2918871	3964	non-woody
Ernodea_littoralis	2893696	1214	derived
Arcytophyllum_nitidum	2892716	3967	derived
Stenaria_nigricans	2909424	3781	non-woody
Hedyotis_caudatifolia	3845807	123	derived
Hedyotis_philippensis	2915775	182	non-woody
Hedyotis_fruticosa	9594482	107	derived
Leptopetalum_grayi	2895818	195	derived
Oldenlandia_diffusa	9264048	1362	non-woody
Hedyotis_verticillata	9469636	336	derived
Kadua_affinis	2906544	2688	derived
Hedyotis_korrorensis	2912105	72	derived
Oldenlandia_corymbosa	2911970	4987	non-woody
Hedyotis_terminalis	2906544	2688	derived
Hedythyrsus_spermacocinus	2898217	40	derived
Mitrasacmopsis_quadrivalvis	2900406	162	non-woody
Nesohedyotis_arborea	2895869	32	derived
Denscantia_cymosa	2892178	275	derived
Ditassa_retusa	3579540	584	derived
Blepharodon_mucronatum	9763251	1638	non-woody
Minaria_acerosa	3577092	873	derived
Matelea_pedalis	7311660	166	derived
Gonolobus_gonoloboides	3571046	49	non-woody
Matelea_calchaquina	3573668	2	derived
Matelea_maritima	3170535	437	non-woody
Matelea_cordifolia	9749570	129	ancestral
Diplolepis_menziesii	7502093	50	derived
Diplolepis_boerhaviifolia	8264647	63	non-woody
Asclepias_subaphylla	3573704	41	derived
Asclepias_albicans	3170348	472	derived
Asclepias_syriaca	3170247	15208	non-woody
Calotropis_procera	5414566	6100	derived
Gomphocarpus_fruticosus	7150619	6555	ancestral
Calciphila_gillettii	3621298	2	derived
Cynanchum_hastifolium	7312422	63	derived
Cynanchum_acutum	3571089	5107	non-woody
Cynanchum_floribundum	5525679	808	derived
Cynanchum_meyeri	3577491	52	derived
Schizostephanus_alatus	3573762	69	derived
Microloma_incanum	8042176	218	derived
Vincetoxicum_hirundinaria	5414548	68824	non-woody
Leptadenia_arborea	3580344	256	derived
Marsdenia_viridiflora	7311998	2633	non-woody
Hoya_carnosa	8658195	529	derived
Marsdenia_rostrata	7312090	6090	ancestral
Ixanthus_viscosus	3839773	232	derived
Centaurium_erythraea	5414457	105200	non-woody
Aripuana_cullmaniorum	3842504	19	derived
Macrocarpaea_sodiroana	3839935	75	ancestral
Symbolanthus_calygonus	8184585	572	derived
Chelonanthus_alatus	3844069	2878	non-woody
Exacum_fruticosum	3841164	32	derived
Exacum_oldenlandioides	3840827	186	non-woody
Tachiadenus_longiflorus	3839953	219	derived
Exochaenium_grande	3839714	608	non-woody
Nolana_galapagensis	3797912	20	derived
Lycium_barbarum	2928835	14490	non-woody
Lycium_chinense	2928809	3644	ancestral
Solanum_ochranthum	2929382	693	derived
Solanum_lycopersicum	2930137	83829	non-woody
Solanum_habrochaites	2929599	1908	derived
Solanum_appendiculatum	2929544	993	derived
Solanum_anceps	2929475	1230	derived
Solanum_tabanoense	2930434	78	derived
Solanum_torvum	2932389	11990	ancestral
Solanum_dulcamara	2932737	265340	non-woody
Nicotiana_glauca	2928783	13280	derived
Nicotiana_tabacum	2928774	21553	non-woody
Convolvulus_canariensis	3681333	244	derived
Convolvulus_siculus	3678083	2100	non-woody
Convolvulus_floridus	7943397	526	derived
Convolvulus_lanuginosus	7532470	5784	ancestral
Convolvulus_oxyphyllus	3680734	68	derived
Convolvulus_dorycnium	7815993	1166	derived
Convolvulus_arvensis	2928390	232524	non-woody
Stictocardia_tiliifolia	3677765	960	derived
Lepistemon_owariensis	7873674	277	non-woody
Turbina_corymbosa	5341706	2255	derived
Turbina_oblongata	5548802	314	non-woody
Argyreia_nervosa	2928692	586	derived
Ipomoea_arborescens	7324166	570	derived
Ipomoea_carnea_subsp._fistulosa	2928590	3549	derived
Ipomoea_batatas	2928551	31110	non-woody
Ipomoea_ancisa	8125492	149	derived
Trichogonia_hirtiflora	5387739	503	derived
Ageratum_conyzoides	5401673	15390	non-woody
Brickellia_tomentella	5388336	923	derived
Brickellia_scoparia	5388397	240	ancestral
Brickellia_eupatorioides	5388438	4114	non-woody
Brickellia_nutanticeps	5388387	127	derived
Ayapanopsis_oblongifolia	3104452	90	derived
Mikania_cordifolia	5398689	4656	ancestral
Eupatorium_cannabinum	5402943	248717	non-woody
Perityle_incana	3146381	89	derived
Perityle_emoryi	3146426	2605	non-woody
Deinandra_clementina	3106607	172	derived
Holocarpha_virgata	3091313	437	non-woody
Adenothamnus_validus	3098996	66	derived
Layia_glandulosa	5392986	2026	non-woody
Dubautia_ciliolata_subsp._ciliolata	3134942	333	derived
Dubautia_ciliolata_subsp._glutinosa	3134942	333	ancestral
Dubautia_menziesii	5392027	398	derived
Dubautia_reticulata	3134911	71	derived
Dubautia_latifolia	3134897	124	derived
Dubautia_knudsenii_subsp._knudsenii	3134875	183	derived
Dubautia_laxa	3134895	574	derived
Argyroxiphium_sandwicense	3118115	308	derived
Baeriopsis_guadalupensis	3143049	41	derived
Amblyopappus_pusillus	3140179	934	non-woody
Eriophyllum_staechadifolium	6443404	1132	derived
Eriophyllum_lanatum	3130472	5224	non-woody
Constancea_nevinii	3103322	233	derived
Apostates_rapae	5399546	10	derived
Bahia_ambrosioides	3095499	160	ancestral
Peucephyllum_schottii	3151869	966	derived
Schkuhria_pinnata	8346536	4679	non-woody
Pelucha_trifida	3148216	43	derived
Psathyrotes_ramosissima	3100729	458	non-woody
Calea_jamaicensis	3147667	919	derived
Calea_ternifolia	8388990	1738	non-woody
Porophyllum_punctatum	3104036	1238	derived
Porophyllum_lanceolatum	3103995	616	ancestral
Porophyllum_ruderale	3103948	4582	non-woody
Porophyllum_viridiflorum	3103958	456	derived
Porophyllum_gracile	3104005	1405	ancestral
Chrysactinia_mexicana	3151386	1039	derived
Tagetes_dianthiflora	4235615	8	derived
