allmb_name	crop_state	gbif_species_key	myco_state	num_occurrences	woody_state
Chionochloa_rigida		4148765	arbuscular	1310	
Chionopappus_benthamii		3089275		47	derived
Chondrilla_juncea		8537667	arbuscular	27467	
Chorispora_tenella		3044349		2813	non-woody
Chorizanthe_brevicornu		2888910		1061	non-woody
Chorizanthe_staticoides		2888925		642	non-woody
Chrysactinia_mexicana		3151386		1039	derived
Chrysanthemum_zawadskii		3150753	arbuscular	1171	
Chrysodracon_hawaiiensis		5304685	arbuscular	114	
Chrysosplenium_oppositifolium		7526486	neither	60507	
Cicer_arietinum		2947311	arbuscular	90833	
Cicerbita_alpina		3087634	neither	18263	
Cichorium_endivia		5392243	arbuscular	2261	
Cirsium_arvense		3113414	arbuscular	573171	non-woody
Cirsium_brevipapposum		9289510	neither	1	
Cistus_ladanifer_subsp._sulcatus		6437976	ecto	557043	
Cladium_jamaicense		2731327	arbuscular	26123	
Cladrastis_kentukea		2945513	arbuscular	1228	
Cleistogenes_squarrosa		2706207	neither	310	
Clematis_alpina		3033599		9192	ancestral
Clematis_flammula		3921611		22540	non-woody
Clematis_ibarensis		3931342		191	derived
Clematis_pauciflora		8009516		230	derived
Clematis_vitalba		3033558		159846	derived
Cleome_anomala		3871537		342	derived
Cleome_rutidosperma		9778787		2661	non-woody
Cleome_viridiflora		3873199		465	derived
Cleomella_arborea		7893492		2547	derived
Cleomella_serrulata		8145885		1858	non-woody
Clermontia_kakeana		5407709		342	derived
Clethra_barbinervis		3718199	arbuscular	3759	
Clitoria_fairchildiana		2946600	neither	734	
Coccinia_adoensis		3624807		912	non-woody
Coccinia_grandis		2874564		2342	derived
Coccoloba_pubescens		2888841		304	ancestral
Cochlearia_danica		5373254	arbuscular	38064	
Cochlearia_groenlandica		5373235	neither	2696	
Cocos_nucifera	undifferentiated	2735117		5604	
Codonanthopsis_crassifolia		3824299		1180	derived
Codonoboea_leucocodon		3823765		6	derived
Codonopsis_clematidea		8569825	arbuscular	467	
Cojoba_arborea		2981383	neither	1603	
Colchicum_autumnale		2739622	arbuscular	68076	
Colletia_spinosissima		6371450	arbuscular	457	
Colocasia_formosana	progenitor	5330776		9238	
Colocasia_lihengiae	progenitor	5330771		4	
Colocasia_yunnanensis	progenitor	5330769		110	
Colutea_arborescens		7844167		12004	derived
Combretocarpus_rotundatus		3658134	neither	191	
Conospermum_taxifolium		8410766	arbuscular	2344	
Constancea_nevinii		3103322		233	derived
Convolvulus_arvensis		2928390		232524	non-woody
Convolvulus_canariensis		3681333		244	derived
Convolvulus_dorycnium		7815993		1166	derived
Convolvulus_floridus		7943397		526	derived
Convolvulus_lanuginosus		7532470		5784	ancestral
Convolvulus_oxyphyllus		3680734		68	derived
Convolvulus_siculus		3678083		2100	non-woody
Conyza_canadensis		3146791	neither	196827	
Coopernookia_barbata		3761207		945	derived
Coptis_trifolia_subsp._groenlandica		3033632		5023	non-woody
Corallocarpus_bainesii		3623632		141	non-woody
Corallocarpus_glomeruliflorus		7825611		46	derived
Coreocarpus_dissectus		3122462		110	derived
Coreopsis_fasciculata		3134008		144	derived
Coreopsis_mutica_var._carnosifolia		8872556		958	derived
Coreopsis_tinctoria		3133950		4803	non-woody
Corethrodendron_multijugum		2961023		150	derived
Coriaria_ruscifolia		3701768	neither	1763	
Cornus_suecica		3082246	arbuscular	37166	
Cortaderia_selloana		2704523	arbuscular	10107	
Corydalis_alpestris		5531590	arbuscular	111	
Corydalis_solida		5334208	neither	26474	
Cosmos_bipinnatus		3098912	neither	4797	
Cota_tinctoria_subsp._subtinctoria		5390618	arbuscular	32602	
Cotyledon_orbiculata		5361969		1861	derived
Cousinia_brachyptera		3102676		34	non-woody
Cousinia_microcarpa		3101933	arbuscular	215	
Cousinia_stechmanniopsis		3102091		2	derived
Cousinia_stocksii		3102023		21	derived
Crambe_maritima		5373533		13358	non-woody
Crambe_santosii		5373526		93	derived
Crambe_strigosa		5373547		318	derived
Crassula_aquatica		7565449	neither	4936	non-woody
Crassula_arborescens		7334487		183	derived
Crassula_deceptor		5688947		109	ancestral
Crassula_perfoliata_var._minor		7172987	neither	474	derived
Crassula_rupestris		7557934	arbuscular	445	derived
Crassula_sarcocaulis_subsp._rupicola		7172895		431	ancestral
Crassula_schimperi_subsp._schimperi		7334642	arbuscular	286	
Crassula_sieberiana		5362057		14565	non-woody
Crassula_tetragona		7172747		592	derived
Cratystylis_conocephala		3098621		1345	derived
Cremolobus_peruvianus		3041482		120	derived
Crotalaria_incana		2942375	arbuscular	5323	
Cryptosepalum_tetraphyllum		2956480	ecto	205	
Cucumis_myriocarpus		7885624		3636	non-woody
Cucumis_rigidus		3624525		85	derived
Cucurbita_argyrosperma_subsp._sororia	progenitor	7156471		2154	
Cucurbita_ficifolia	undifferentiated	2874512		1523	
Cucurbita_maxima_subsp._andreana	progenitor	7655426		9035	
Cucurbita_moschata	undifferentiated	7393329		9912	
Cucurbita_pepo_subsp._fraterna	progenitor	8860489		748	
Culcitium_canescens		3108405		425	non-woody
Curatella_americana		7304064	arbuscular	3882	
Cutandia_memphitica		2706169	neither	754	
Cyanea_pilosa_subsp._longipedunculata		5412328		70	ancestral
Cyclamen_hederifolium		7127810	arbuscular	3980	
Cyclocheilon_somaliense		3570693		33	derived
Cydonia_oblonga		5362215	arbuscular	5315	
Cylicodiscus_gabunensis		2977092	arbuscular	281	
Cylindrocline_commersonii		3144488		24	derived
Cynanchum_acutum		3571089		5107	non-woody
Cynanchum_floribundum		5525679		808	derived
Cynanchum_hastifolium		7312422		63	derived
Cynanchum_meyeri		3577491		52	derived
Cynara_cardunculus		3112364	arbuscular	6968	
Cynometra_megalophylla		2966854	arbuscular	451	
Cynometra_retusa		2966937	arbuscular	332	
Cynophalla_flexuosa		3873525	neither	3650	
Cynosurus_cristatus		2704395	arbuscular	214581	
Cyperus_capitatus		2714938	neither	3030	
Cyperus_esculentus		2716226	neither	14875	
Cyperus_fuscus		2716489	neither	19706	
Cyperus_iria		2715729	arbuscular	8807	
Cyperus_laevigatus		2713559	arbuscular	5664	
Cyperus_ligularis		2715068	arbuscular	4280	
Cyperus_luzulae		2714679	neither	5519	
Cyperus_microiria		2715429	neither	2448	
Cyperus_odoratus		2715219	arbuscular	12875	
Cyperus_polystachyos		2730407	arbuscular	11865	
Cyperus_strigosus		2716719	arbuscular	6377	
Cyperus_surinamensis		2715295	arbuscular	4009	
Cyphocardamum_aretioides		3042380		3	derived
Cytisus_scoparius		5354656		221189	ancestral
Dactylorhiza_maculata		8179794	neither	141100	
Dactylorhiza_sambucina		8231647	ecto	24685	
Dalbergia_hupeana		2968584	neither	608	
Dalbergia_melanoxylon		2968897	arbuscular	1482	
Dalbergia_miscolobium		2968927	arbuscular	1535	
